primary_field,type,syntax,semantic
ctot,basic,"'-' ""CTOT"" timehhmm",Calculated Take-Off Time (CTOT): reference time of an  ATFM Slot.
dat,basic,"'-' ""DAT"" datalink",Indication of the data applications and capabilities carried by  the aircraft.
days,basic,"'-' ""DAYS"" numdays","Days of operation for a repetitive flight plan (1234567 where  1 is for Monday, 2 for Tuesday, ..., with 0 in columns of non- operation)."
daysk,basic,"'-' ""DAYSK"" (numdays | numdayswldcrd)","Days of operation for a repetitive flight plan, used as  database key in a query message, may be wildcarded."
daysold,basic,"'-' ""DAYSOLD"" numdays","The ""previous"" days of operation. Used as a database key.  Where the days of operation of an RPL are to be amended,  the new values will be given in ""DAYS""."
dct,basic,"'-' ""DCT"" point point","Indicates a direct route between two points.  The points may either be a valid ICAO designator of a point  or a point appearing in a GEO, REN or REF field of the form  GEOxx, RENxx or REFxx."
delay,basic,"'-' ""DELAY"" timehhmm","A period of time representing a delay. The nature of the  delay i.e. delay to a flight, processing delay, etc. is  dependent upon its context."
depaptype,basic,‘-‘ “DEPAPTYPE” airporttype,An indication of the A-CDM capabilities of the aerodrome of  departure
deparctyp,basic,‘-‘ DEPARCTYP” (icaoaircrafttype | “ZZZZ”),The aircraft type as received from the airport via a DPI  message.
depproc,basic,‘-‘ “DEPPROC” sidstarid | “DCT” | point,An indication of the procedure a departing aircraft is  expected to fly to reach the first en-route point.  May be:  - the identifier of a Standard Instrument Departure  procedure;  - an indication that the aircraft will fly direct to the first en- route point;  - an indication that no procedure is specified for the aircraft  reach the defined point.
depreg,basic,‘-‘ “DEPREG” 1{LIM_CHAR}7,The aircraft registration mark as received from the airport via  a DPI message.
depstatus,basic,"'-' ""DEPSTATUS"" 1 {LIM_CHAR}","Indicates the status of the flight prior to the departure, e.g.  “DEICING”."
depz,compound,"'-' ""DEPZ"" "" (adname [ geoid | refid ]) | ptid","Name of departure aerodrome if no ICAO location indicator  exists. Optionally, the location of the aerodrome if it is not  listed in the national AIP given by bearing and distance or  Lat. Long. Alternatively, if the aircraft did not depart from an  aerodrome, the first point of the route given by  Waypoint/Nav Aid or Lat. Long."
desc,basic,"'-' ""DESC"" 1 {LIM_CHAR}",Description of a condition or entity which is of relevance to  the content of the message.
destz,compound,"'-' ""DESTZ"" "" (adname [ geoid | refid ] ) | ptid","Name of destination aerodrome if no ICAO location indicator  exists. Optionally, the location of the aerodrome if it is not  listed in the national AIP given by bearing and distance or  Lat. Long. Alternatively, if the aircraft did not depart from an  aerodrome, the first point of the route given by  Waypoint/Nav Aid or Lat. Long."
dle,basic,‘-‘ “DLE” point  timehhmm_elapsed,As in ICAO Field 18 DLE/. Used to indicate an en-route  delay or holding.
dpistatus,basic,"'-' ""DPISTATUS"" (""EARLY” | “PROV” |  “TARGET” | “SEQ” | “ATC” | “CNL”)",The status of the DPI Message. It indicates the sub-type of  the DPI message.
eda,basic,"'-' ""EDA"" date",Estimated date of arrival
eetfir,basic,"'-' ""EETFIR"" firindicator timehhmm_elapsed",FIR identification and the accumulated elapsed time (in  hours and minutes) to the FIR boundary.
eetlat,compound,"'-' ""EETLAT"" lattd time",Indication of an elapsed time to a position given by latitude  only.
eetlong,compound,"'-' ""EETLONG"" longtd time",Indication of an elapsed time to a position given by longitude  only.
eetpt,basic,"'-' ""EETPT"" point timehhmm_elapsed",Point identifier and the accumulated elapsed time to the  point.
efl,compound,"'-' ""EFL"" fl [ptid]",Flight Level to be communicated in a coordination in  advance. It shall include the flight level to be applied and  optionally  the point at which this flight level is applied.
eldt,basic,‘-‘ “ELDT” date ! timehhmm ! seconds,The Estimated Landing Time.
endtime,basic,"'-' ""ENDTIME"" day ! timehhmm",The time at which a period of time ends.
entrydata,compound,"'-' ""ENTRYDATA"" (ptid | airspdes | (ptid  airspdes)) [fl] [ptrfl] [(ptspeed | ptmach)] [ptfltrul]  [ptmilrul]","The flight plan data which is applicable to a flight at the point  given or at the entry of the flight into the airspace concerned.  One or both of the fields; ‘ptid’, ‘airspdes’, must be present."
eobd,basic,"'-' ""EOBD"" date",Estimated Off-Block Date.
eobdk,basic,"'-' ""EOBDK"" date","Estimated Off-Block Date used as database key in a query,  may be wildcarded.  Must be a combination of digits and wild-card characters, up  to maximum 6 characters in total."
eobdold,basic,"'-' ""EOBDOLD"" date","The ""previous"" estimated off block date. Used as a database  key. Where the estimated off block date is to be amended,  the new value will be given in ""EOBD""."
eobt,basic,"'-' ""EOBT"" timehhmm",Estimated Off-Block Time (EOBT)
eobtk,basic,"'-' ""EOBTK"" (timehhmm | timewldcrd)","Estimated Off-Block Time used as database key in a query,  may be wildcarded."
eobtold,basic,"'-' ""EOBTOLD"" timehhmm","The ""previous"" estimated off block time. Used as a database  key. Where the estimated off block time is to be amended,  the new value will be given in ""EOBT""."
eqcst,compound,"'-' ""BEGIN"" "" EQCST"" 1{eqpt | sureqpt } '-' ""END""  "" EQCST""",List of equipment capability codes each followed by a status  value which specifies the current status of the capability.
errfield,basic,"'-' ""ERRFIELD"" fieldid",ADEXP name of erroneous field(s).
error,basic,"'-' ""ERROR"" [errorcode] 1{ LIM_CHAR }",Error message text. May optionally contain an error  identification code.
estdata,compound,"'-' ""ESTDATA"" ptid eto fl [sfl]","Estimate data. A point id., the estimated flight level (flight  level number) and the estimate date-time at this point  followed optionally by the supplementary flight level (flight  level number followed by the indicator A or B)."
eta,basic,"'-' ""ETA"" timehhmm",Estimated time of arrival.
etod,basic,"'-' ""ETOD"" date",Estimated Take_Off Date.
etot,basic,"'-' ""ETOT” timehhmm",Estimated Take-Off Time.
eur,basic,‘-‘ “EUR” eurflightplanstatus,"Indicates specific status, capabilities or lack thereof, as  prescribed for use within the EUR region."
event,basic,"'-' ""EVENT” eventtype",Triggering event.
eventclass,basic,"'-' ""EVENTCLASS” atfmreasonclass",Classification of an event.
extaddr,compound,"'-' ""EXTADDR"" num | { fac } | (num {fac})",Addresses which are provided in addition to those which are  determined automatically i.e. 'extra addresses'. May contain  only the number of addresses or the actual addresses or  both.
fanslogon,compound,‘-‘ “FANSLOGON” 2{appname appversion}2,Logon parameters from FANS 1/A aircraft.
filrte,basic,"'-' ""FILRTE"" {LIM_CHAR}",The route exactly as filed i.e. without any processing.
filtim,basic,"'-' ""FILTIM"" day ! timehhmm",Day-time group specifying when the message was filed for  transmission.
flband,compound,"'-' ""FLBAND"" fl fl","A flight level band defining the airspace vertically, inclusive  of the flight levels given."
